emp_no,first_name,last_name,dept_no,title
11459,Duke,Suomi,d003,Senior Staff
11460,Mana,Maraist,d004,Senior Engineer
11469,Guttorm,Giaccio,d004,Senior Engineer
11474,Gennady,Akazan,d006,Engineer
11476,Manton,Yoshizawa,d001,Staff
11479,Shridhar,Pleszkun,d002,Staff
11503,Nathan,Picht,d005,Senior Engineer
11506,Rance,Picel,d007,Staff
11509,Aleksander,Feldhoffer,d005,Senior Engineer
11513,Otmar,Mahnke,d002,Senior Staff
11515,Ulf,Basawa,d007,Staff
11518,Jinxi,Oxman,d003,Senior Staff
11519,Halsur,Chinen,d007,Senior Staff
11523,Yuguang,Pezzoli,d005,Engineer
11524,Xiadong,Standera,d005,Senior Engineer
11527,Alagu,Boyle,d001,Staff
11528,Zito,Dolinsky,d004,Technique Leader
11531,Radhika,Motley,d004,Technique Leader
11533,Vitaly,Lorch,d005,Technique Leader
11537,DAIDA,Pehl,d007,Senior Staff
11540,Chanjung,Portugali,d004,Senior Engineer
11554,Subhash,Taubenfeld,d003,Staff
11555,Kotesh,Perfilyeva,d003,Senior Staff
11567,Teiji,Mitzlaff,d007,Senior Staff
11568,Martins,Fujisaki,d005,Senior Engineer
11573,Pranas,Hutton,d005,Senior Engineer
11575,Godehard,Plotkin,d005,Engineer
11577,Mayumi,Deyuan,d006,Senior Engineer
11581,Patricio,Rosenbaum,d005,Senior Engineer
11587,Shem,Zambonelli,d005,Senior Engineer
11589,Gina,Plessier,d005,Senior Engineer
11595,Takanari,Kamber,d001,Senior Staff
11596,Yannik,Gunderson,d002,Staff
11602,Somnath,Malabarba,d001,Senior Staff
11603,Herb,Swen,d002,Senior Staff
11606,Perry,Pepe,d009,Senior Staff
11607,Tomokazu,Foong,d004,Engineer
11615,Shem,Isaak,d007,Senior Staff
11616,Zhilian,Brendel,d004,Engineer
11624,Adil,Gammage,d004,Senior Engineer
11628,Fan,Malinowski,d008,Senior Engineer
11640,Valeri,Coorg,d005,Senior Engineer
11641,Chikako,Rothenberg,d005,Senior Engineer
11644,Sanjit,Zaiane,d004,Assistant Engineer
11646,Lobel,Rubsam,d005,Engineer
11647,Magy,Nitsche,d005,Senior Engineer
11649,Shen,Bernardinello,d008,Technique Leader
11660,Gill,Stenning,d007,Senior Staff
11664,Oksana,Brizzi,d007,Senior Staff
11667,Kristian,Marchegay,d001,Senior Staff
11673,Henk,Felder,d004,Technique Leader
11676,Valeri,Ferriere,d004,Engineer
11681,Fumitake,Benzmuller,d004,Senior Engineer
11684,Oksana,Gide,d001,Senior Staff
11690,Domenick,Raczkowsky,d003,Staff
11693,Hideo,Coorg,d005,Senior Engineer
11696,Dante,Rothe,d007,Senior Staff
11713,Danel,Heusch,d006,Senior Engineer
11732,Sanjoy,Ranft,d009,Senior Engineer
11733,Leszek,Sudbeck,d005,Senior Engineer
11735,Amalendu,Picci,d009,Senior Staff
11736,Shugo,Uchoa,d004,Senior Engineer
11737,Martina,Garnier,d006,Assistant Engineer
11746,Koichi,Marrakchi,d007,Senior Staff
11748,Lihong,Massonet,d005,Engineer
11751,Jiafu,Emiris,d008,Senior Staff
11756,Abdelwaheb,Vakili,d005,Engineer
11763,Yuriy,Liesche,d005,Engineer
11764,Sanjay,Anick,d004,Senior Engineer
11765,Zorica,Junet,d003,Senior Staff
11769,Chandrasekaran,Lampe,d008,Senior Staff
11770,Arumugam,Jakobus,d005,Senior Engineer
11772,Gaurav,Penz,d005,Engineer
11774,Aron,Wroclawski,d004,Engineer
11778,Dhritiman,Fontan,d004,Senior Engineer
11779,Shunichi,Thombley,d008,Staff
11791,Gal,Mamelak,d005,Senior Engineer
11797,Chenxi,Thambidurai,d007,Senior Staff
11801,Tommaso,Dayang,d007,Senior Staff
11807,Chriss,Binding,d009,Technique Leader
11810,Amabile,Bhattacharjee,d005,Senior Engineer
11811,Herb,Boissier,d007,Senior Staff
11817,Niranjan,Markovitch,d007,Senior Staff
11822,Sastry,Madeira,d009,Staff
11823,Weiyi,Iacovou,d008,Senior Engineer
11829,Chaosheng,Pettis,d004,Assistant Engineer
11832,Arto,Zlotek,d005,Engineer
11836,Ortrud,Bakhtari,d008,Senior Staff
11841,Elvia,Bugrara,d009,Staff
11842,Moto,Piazza,d008,Senior Staff
11844,Shawna,Demeyer,d005,Senior Engineer
11846,Fai,Perly,d004,Senior Engineer
11853,Zeljko,Kusakabe,d001,Senior Staff
11857,Divier,Farrag,d007,Senior Staff
11862,Alejandra,Deville,d006,Senior Engineer
11864,Pradeep,Kriebel,d009,Staff
11868,Kwee,Demke,d006,Engineer
11869,Fumino,Luca,d004,Engineer
11871,Nalini,Sommen,d005,Senior Engineer
11872,Cheong,Riexinger,d001,Senior Staff
11876,Leszek,Kobuchi,d005,Senior Engineer
11881,Arra,Staelin,d007,Senior Staff
11888,Badri,Azulay,d001,Senior Staff
11894,Mitchel,Validov,d005,Senior Engineer
11896,Shaunak,Benzmuller,d004,Technique Leader
11897,Cordelia,Setlzner,d007,Senior Staff
11906,Hideo,Boguraev,d005,Engineer
11911,Ashish,Mondadori,d005,Senior Engineer
11915,Miomir,Mawatari,d004,Senior Engineer
11917,Jiakeng,VanScheik,d004,Engineer
11926,Leni,Felcyn,d004,Engineer
11931,Gunilla,Chiodo,d008,Senior Staff
11933,Basil,Erman,d005,Senior Engineer
11938,Aruna,Verspoor,d009,Staff
11940,Ult,Anido,d005,Assistant Engineer
11944,Along,Aumann,d006,Senior Engineer
11945,Limsoon,Marakhovsky,d003,Staff
11948,Yahiko,Nergos,d009,Senior Engineer
11949,Martijn,Harbusch,d004,Technique Leader
11951,Bernt,Haumacher,d005,Senior Engineer
11965,Arup,Morrey,d004,Engineer
11972,Sibyl,Beausoleil,d001,Senior Staff
11980,Yechezkel,Pews,d007,Staff
11983,Jaana,Hedayat,d005,Senior Engineer
11989,Erzsebet,Peltason,d004,Technique Leader
11993,Marit,Dalphin,d003,Senior Staff
11994,Sigeru,Fiebach,d001,Senior Staff
12007,Marko,Dehkordi,d005,Senior Engineer
12011,Zhilian,Coorg,d007,Senior Staff
12015,Kensei,Guenter,d008,Staff
12021,Chikara,Rahimi,d004,Senior Engineer
12023,Chuanyi,Eppinger,d006,Technique Leader
12024,Mayumi,Lanzelotte,d003,Staff
12028,Ingemar,Walstra,d005,Senior Engineer
12030,Shuky,Cromarty,d003,Staff
12034,Aemilian,Piazza,d007,Staff
12036,Mads,Ratzlaff,d007,Senior Staff
12037,Arunas,Katzenelson,d009,Senior Staff
12040,Bluma,Kermarrec,d001,Senior Staff
12043,Masaki,Lubachevsky,d008,Staff
12044,Rance,Hemaspaandra,d004,Senior Engineer
12047,Jordanka,Ligten,d006,Assistant Engineer
12050,Yuchang,Tchuente,d004,Engineer
12053,Yechezkel,Pelc,d004,Senior Engineer
12054,Odysseas,Braccini,d007,Staff
12060,Toshimi,Antonakopoulos,d006,Technique Leader
12062,Margareta,Worfolk,d003,Senior Staff
12063,Lein,Bale,d004,Senior Engineer
12069,Ayonca,Burnard,d005,Senior Engineer
12070,Ger,Shokrollahi,d005,Technique Leader
12076,Karlis,Siprelle,d007,Senior Staff
12080,Panayotis,Feinberg,d007,Senior Staff
12082,Xinan,Yamaashi,d007,Senior Staff
12089,Bilhanan,Socorro,d003,Senior Staff
12090,Shigenori,Angelopoulos,d004,Engineer
12091,Lansing,Cunliffe,d006,Senior Engineer
12092,Kauko,Unno,d008,Senior Staff
12093,Evgueni,Oxenboll,d005,Senior Engineer
12094,Weiru,Pearson,d009,Senior Staff
12099,Nobuyoshi,Kuzuoka,d007,Senior Staff
12102,Aron,Erde,d007,Staff
12112,Satyanarayana,Avouris,d002,Senior Staff
12114,Shiv,Rubsam,d008,Staff
12122,Satoru,Krone,d004,Senior Engineer
12123,Xiahua,Syrzycki,d008,Senior Staff
12125,Shounak,Erman,d005,Engineer
12138,Takahito,Brender,d004,Engineer
12140,Xudong,Paciorek,d003,Senior Staff
12149,Suebskul,Grandbois,d007,Senior Staff
12159,Shem,Perly,d005,Senior Engineer
12160,Aamer,Garrabrants,d007,Senior Staff
12164,Muneo,Chachaty,d005,Engineer
12165,Xiaobin,Maquelin,d005,Senior Engineer
12168,Arnd,Salverda,d009,Senior Staff
12172,Jianhua,Llado,d003,Senior Staff
12174,Slavian,Plavsic,d005,Senior Engineer
12183,Harngdar,Iisaku,d006,Engineer
12186,Guther,Nooteboom,d009,Senior Staff
12190,Abdulah,Engberts,d005,Senior Engineer
12191,Rosella,Bazzichi,d004,Engineer
12192,Feiyu,Klyachko,d006,Senior Engineer
12205,Sushant,Rossi,d005,Senior Engineer
12206,Barton,Janetzko,d005,Senior Engineer
12210,Vugranam,Ashish,d008,Senior Staff
12213,Kwangho,Brizzi,d007,Senior Staff
12216,Aloke,Mansanne,d006,Engineer
12218,Yaghout,Strooper,d006,Senior Engineer
12219,Junsik,Gadepally,d008,Senior Staff
12221,Vincent,Melter,d005,Senior Engineer
12222,Abdelwaheb,Holburn,d002,Senior Staff
12223,Niteen,Koyama,d004,Senior Engineer
12230,Yuriy,Bellone,d005,Engineer
12231,Nishit,Bharadwaj,d004,Senior Engineer
12235,Honesty,Haumacher,d007,Staff
12242,Satoru,Wolniewicz,d005,Engineer
12247,Subbu,Penttonen,d005,Technique Leader
12249,Eldridge,Sadowski,d005,Senior Engineer
12250,Kerhong,Aloia,d005,Senior Engineer
12256,Guadalupe,Reghbati,d003,Senior Staff
12258,Kankanahalli,Eiter,d005,Senior Engineer
12264,Mart,Pagter,d005,Engineer
12269,Mohammed,Whitcomb,d006,Senior Engineer
12270,Shakhar,Kornyak,d008,Senior Staff
12272,Behnaam,Grandbois,d003,Senior Staff
12273,Jaideep,Uehara,d007,Senior Staff
12281,Hisao,Langford,d005,Senior Engineer
12282,Tadahiro,Delgrange,d005,Engineer
12291,Masamitsu,Koyama,d007,Senior Staff
12298,Tetsurou,Rodham,d008,Senior Engineer
12308,Mototsugu,Cronau,d003,Senior Staff
12311,Susanne,Lubachevsky,d005,Senior Engineer
12316,Hyuncheol,Duclos,d004,Engineer
12317,Weiyi,Crabtree,d009,Staff
12327,DAIDA,Bruckman,d005,Senior Engineer
12328,Atilio,Prampolini,d003,Staff
12338,Kagan,Besselaar,d002,Staff
12339,Pranay,Czaja,d008,Staff
12341,Rasiah,Luga,d005,Senior Engineer
12343,Sorina,Slaats,d009,Senior Staff
12355,Vidar,Hutton,d004,Senior Engineer
12364,Neelam,Cummings,d004,Assistant Engineer
12365,Kamakshi,Bisiani,d004,Senior Engineer
12368,Gor,Dechter,d001,Senior Staff
12373,Mooi,Driscoll,d007,Senior Staff
12379,Kazuhisa,Serna,d005,Technique Leader
12381,Amalendu,Klerer,d008,Senior Staff
12388,Arumugam,Hebert,d005,Senior Engineer
12394,Stevo,Reeken,d006,Engineer
12395,Sanjit,Felder,d002,Senior Staff
12399,Mihalis,Luga,d007,Senior Staff
12411,Shao,Ibel,d007,Senior Staff
12413,Hugh,Gadepally,d004,Senior Engineer
12417,Dannz,Spelt,d004,Senior Engineer
12421,Toshimi,Gulik,d005,Senior Engineer
12422,Berhard,Demos,d003,Senior Staff
12426,Shahaf,Valtorta,d006,Technique Leader
12427,Zissis,Daescu,d008,Senior Staff
12434,Xumin,Bernardinello,d004,Engineer
12438,Yongmao,Mondadori,d009,Senior Staff
12450,Sanjeeva,Perng,d005,Senior Engineer
