emp_no,first_name,last_name,gender,salary,to_date
12872,Marl,Schmittgen,F,56040,9999-01-01
12890,Neven,Casley,F,66803,9999-01-01
12893,Licheng,Crouzet,M,50803,9999-01-01
13124,Quingbo,Garnick,F,73785,9999-01-01
13146,Haldon,Erie,M,61398,9999-01-01
13147,Shichao,Ginesta,M,77429,9999-01-01
13173,Arve,Horswill,M,46354,9999-01-01
13179,Moty,Janocha,M,90233,9999-01-01
13186,Kyoichi,Barbanera,M,93138,9999-01-01
13213,Hein,Billawala,M,61131,9999-01-01
13238,Ebru,Foote,F,40000,9999-01-01
13392,Fumitake,Beidas,F,69221,9999-01-01
13405,Randy,Baba,F,60799,9999-01-01
13524,Chaoyi,Porotnikoff,F,52849,9999-01-01
13605,Dmitry,Encarnacion,F,70404,9999-01-01
13680,Denny,Speer,M,46968,9999-01-01
13721,Sugwoo,Delgrossi,F,64754,9999-01-01
13769,Yakichi,Trogemann,F,61025,9999-01-01
13775,Arve,Maierhofer,M,70161,9999-01-01
13786,Takushi,Berendt,F,74494,9999-01-01
13951,Mooi,Genther,F,82054,9999-01-01
14310,Marlo,Leuchs,M,40000,9999-01-01
14354,Mong,Bojadziev,M,40000,9999-01-01
14478,Munehiro,Boissier,F,40000,9999-01-01
14516,Kristian,Underwood,F,73262,9999-01-01
14607,Suzette,Selvestrel,M,67813,9999-01-01
14621,Souichi,Wixon,F,66404,9999-01-01
14639,Arvind,Hempstead,F,79405,9999-01-01
14648,IEEE,Lorys,M,89209,9999-01-01
14888,Temple,Barriga,F,60916,9999-01-01
14899,Alejandro,Casley,M,64365,9999-01-01
15030,Rasikan,Nourani,M,40000,9999-01-01
15071,Ayonca,Couchot,F,97484,9999-01-01
15134,Arun,Luiz,F,62752,9999-01-01
15176,Charlene,Sankaranarayanan,M,98401,9999-01-01
15271,Shiv,Bernardeschi,F,88026,9999-01-01
15292,Miyeon,Lammel,M,87586,9999-01-01
15330,Jaroslava,Chinal,M,53020,9999-01-01
15369,Premal,Penttonen,F,81954,9999-01-01
15372,Nahum,Broder,M,79245,9999-01-01
15382,Alassane,Siegrist,M,66083,9999-01-01
15454,Hongzue,Cesareni,F,57571,9999-01-01
15474,Gilbert,Plumb,M,90430,9999-01-01
15511,George,Kowalchuk,F,76880,9999-01-01
15566,Baoqiu,Azuma,M,61655,9999-01-01
15601,Carrsten,Anily,F,83263,9999-01-01
15708,Reuven,Kushnir,F,85063,9999-01-01
15740,Stepehn,Pocchiola,M,57994,9999-01-01
15799,Manton,Gelosh,M,64458,9999-01-01
15938,Garnik,Covnot,F,69499,9999-01-01
16066,Marsha,Penn,F,74757,9999-01-01
16233,Sushant,Baba,M,54684,9999-01-01
16266,Mikhail,Sethi,M,57642,9999-01-01
16355,Nikolaos,Luca,M,80403,9999-01-01
16364,Yifei,Gini,M,73503,9999-01-01
16398,Limsoon,Krzyzanowski,M,71254,9999-01-01
16446,Jouko,Chinin,M,94600,9999-01-01
16487,Arunas,Yemenis,M,73302,9999-01-01
16490,Muzhong,Thiria,M,85462,9999-01-01
16607,Vishwani,Honglei,F,54558,9999-01-01
16672,Georgi,Peris,M,55265,9999-01-01
16808,Kiyokazu,Katiyar,M,87215,9999-01-01
16921,Evgueni,Yeung,M,71025,9999-01-01
16993,Hongzue,Dahlbom,M,57751,9999-01-01
17063,Anoosh,Thiran,M,91391,9999-01-01
17089,Rafail,Erman,F,67779,9999-01-01
17102,Radhika,Garnick,F,89793,9999-01-01
17146,Aemilian,Barbanera,F,65674,9999-01-01
17245,Neven,Milicia,F,81426,9999-01-01
17352,Muneo,Katiyar,M,71029,9999-01-01
17436,Chirstian,Munawer,M,79815,9999-01-01
17468,Abdelghani,Irland,F,59122,9999-01-01
17573,Berthier,Deverell,M,77659,9999-01-01
17629,Mostafa,Winter,M,70592,9999-01-01
17647,Vasilis,Swab,F,75896,9999-01-01
17791,Matt,Stifter,F,46451,9999-01-01
17874,Rutger,Minakawa,M,75424,9999-01-01
17986,Oguz,Angelopoulos,M,77587,9999-01-01
18016,Somnath,Kaminger,M,50136,9999-01-01
18018,Sasan,Schrooten,M,70282,9999-01-01
18065,Chriss,Wroclawski,M,52601,9999-01-01
18108,Sanjai,Genin,M,76712,9999-01-01
18274,Yefim,Karnin,F,63753,9999-01-01
18297,Guther,Nastansky,M,56421,9999-01-01
18401,Vidya,Itzfeldt,M,59818,9999-01-01
18443,Florina,Swick,M,69107,9999-01-01
18454,Eric,Anido,M,64815,9999-01-01
18664,Itzchak,Akaboshi,F,55929,9999-01-01
18679,Roded,Lambe,F,80953,9999-01-01
18701,Mori,Ratnakar,F,58282,9999-01-01
18706,Debaprosad,Schicker,M,47897,9999-01-01
18725,Cullen,Marchegay,F,48904,9999-01-01
18771,Domenick,Haraldson,F,51637,9999-01-01
18789,Reinhold,Domenig,F,61935,9999-01-01
18809,Laurentiu,Munoz,M,63500,9999-01-01
18994,Leszek,Mitsuhashi,M,69135,9999-01-01
19012,Gal,Panangaden,M,56894,9999-01-01
19014,Jiafu,Danecki,F,49781,9999-01-01
19031,Rosella,Pollock,F,86266,9999-01-01
19048,Nikolaus,Radhakrishnan,F,64540,9999-01-01
19109,Jenwei,Denis,M,46911,9999-01-01
19134,Seongbin,Bakhtari,M,89672,9999-01-01
19147,Chaitali,Bennis,M,76197,9999-01-01
19201,Arto,Sommen,M,85848,9999-01-01
19205,Moto,Sinitsyn,F,93690,9999-01-01
19381,Xiahua,Holburn,F,82438,9999-01-01
19419,Palash,Bernardeschi,F,52164,9999-01-01
19580,Stein,Tagansky,M,82037,9999-01-01
19624,Younwoo,Wolniewicz,F,49259,9999-01-01
19629,Stepehn,Matzke,M,81751,9999-01-01
19634,Phuoc,Etalle,F,50862,9999-01-01
19663,Sverrir,Navazio,M,74026,9999-01-01
19669,Shem,Honiden,F,68024,9999-01-01
19675,Isamu,Herath,M,90306,9999-01-01
19708,Ortrud,Biros,M,49169,9999-01-01
19723,Xuejun,Magalhaes,F,54056,9999-01-01
19724,Visit,Hasham,F,69399,9999-01-01
19728,Candido,Ramsey,F,78721,9999-01-01
19777,Halsur,Ferretti,M,63089,9999-01-01
19826,Fox,Christ,M,53382,9999-01-01
19841,Adil,Straney,M,49999,9999-01-01
19849,Weicheng,Serre,M,69889,9999-01-01
19874,Xuejia,Kuzuoka,M,98732,9999-01-01
19940,Reinhard,Einsfeld,M,50833,9999-01-01
20042,Margareta,Munck,F,75326,9999-01-01
20148,Ibibia,Polupanov,M,76785,9999-01-01
20266,Ekawit,Kakkad,M,85168,9999-01-01
20325,Katsuyuki,England,M,69040,9999-01-01
20435,Oguz,Homond,M,71488,9999-01-01
20494,Lucien,Pagter,M,82543,9999-01-01
20534,Rosita,Kalloufi,M,47183,9999-01-01
20545,Woody,Chaudhury,M,73867,9999-01-01
20621,Arumugam,Navazio,F,66479,9999-01-01
20708,Aemilian,Arlazarov,F,63353,9999-01-01
20728,Billie,Sessa,M,98529,9999-01-01
20765,Steve,Viele,F,45556,9999-01-01
20813,Srinidhi,Sinicrope,F,107655,9999-01-01
20836,Jingling,Alameldin,M,84293,9999-01-01
20923,Menkae,Miara,M,80332,9999-01-01
20964,Clyde,Erez,F,85572,9999-01-01
20979,Pradeep,Kumaresan,M,86006,9999-01-01
21007,Christfried,Junet,F,63979,9999-01-01
21110,Shaowei,Solares,M,88140,9999-01-01
21138,Niteen,Haraldson,F,60656,9999-01-01
21143,Mayumi,Hennings,M,82365,9999-01-01
21361,Shooichi,Lally,M,84832,9999-01-01
21409,Hongzhu,Yoshimura,M,63099,9999-01-01
21413,Laurentiu,Sherertz,M,102879,9999-01-01
21421,Avishai,Yoshizawa,F,58531,9999-01-01
21432,Kerhong,Weisert,F,45799,9999-01-01
21542,Miomir,Sherertz,F,56185,9999-01-01
21566,Angel,Demos,F,61752,9999-01-01
21588,Licheng,Masamoto,M,55000,9999-01-01
21612,Martial,Bardell,M,82560,9999-01-01
21648,Mayuko,Fandrianto,F,42629,9999-01-01
21697,Billur,Luke,F,78956,9999-01-01
21705,Aleksandar,Luon,M,51814,9999-01-01
21820,Sanjay,Khasidashvili,M,81547,9999-01-01
21980,Gen,Miyakawa,M,53209,9999-01-01
21987,Dipankar,Fontet,M,56799,9999-01-01
21994,Lech,Babb,M,53931,9999-01-01
22095,Breannda,Schlumberger,F,50512,9999-01-01
22111,Rasiah,Felcyn,M,66782,9999-01-01
22136,Naftali,Thiran,M,69488,9999-01-01
22140,Susanne,Reghbati,M,62443,9999-01-01
22150,Kristina,Zweizig,F,67163,9999-01-01
22179,Rosine,Garnick,M,71161,9999-01-01
22326,Mani,Skafidas,M,74850,9999-01-01
22370,Aloys,Oxenboll,M,76113,9999-01-01
22374,Soenke,Klassen,F,76757,9999-01-01
22381,Uma,Openshaw,F,77651,9999-01-01
22405,Gritta,Parveen,F,56020,9999-01-01
22557,Abdulla,Luon,M,82178,9999-01-01
22593,Danae,Jeansoulin,M,52423,9999-01-01
22609,Zvonko,Baalen,F,66371,9999-01-01
22691,Morris,Bottner,M,62992,9999-01-01
22720,Olivera,Gornas,F,52448,9999-01-01
22728,Makato,Codenie,M,99580,9999-01-01
22758,Mabry,Rijckaert,F,59665,9999-01-01
22786,Moss,Usdin,M,105882,9999-01-01
22863,Petter,Denna,F,57027,9999-01-01
22873,Ebbe,Ashish,M,59298,9999-01-01
22910,Shawna,Cummings,M,72381,9999-01-01
22934,Parviz,Plumb,M,91442,9999-01-01
23195,Mark,Ertl,M,47070,9999-01-01
23290,Parviz,Papsdorf,M,62875,9999-01-01
23300,Froduald,Schauser,F,60044,9999-01-01
23314,Krassimir,Demizu,F,81622,9999-01-01
23362,Youjian,Yurek,M,47408,9999-01-01
23370,Morris,Bodoff,M,45506,9999-01-01
23406,Masadi,Masada,F,65602,9999-01-01
23454,Heejo,Felcyn,M,74964,9999-01-01
23480,Dannz,Busillo,F,53631,9999-01-01
23532,Duke,Bardell,F,65085,9999-01-01
23633,Jinpo,Nyrup,F,45809,9999-01-01
23676,Sham,Openshaw,M,90184,9999-01-01
23677,Rafael,Sevcikova,M,96782,9999-01-01
23703,Prodip,Thimonier,F,40000,9999-01-01
23761,Jouni,Menhardt,M,76893,9999-01-01
23791,Boguslaw,Pavlopoulou,M,55247,9999-01-01
23817,Duri,Coorg,F,71444,9999-01-01
23860,Malu,Kumaresan,M,66328,9999-01-01
23868,Trygve,Reistad,M,49745,9999-01-01
23877,Tesuro,Motley,M,82724,9999-01-01
23946,Carrsten,Streit,M,41631,9999-01-01
23952,Valdiodio,Oehlmann,F,70411,9999-01-01
24056,Gladys,Shrader,M,91264,9999-01-01
24118,Elliott,Monarch,F,77728,9999-01-01
24153,Lidong,Anger,M,63144,9999-01-01
24166,Niranjan,Chinal,F,57476,9999-01-01
24225,Shugo,Eiter,M,98584,9999-01-01
24388,Zhilian,Milicic,F,61315,9999-01-01
24397,Shaibal,Shimshoni,M,52260,9999-01-01
24429,Murthy,Anger,M,70034,9999-01-01
24460,Yinghua,Lanphier,M,69794,9999-01-01
24522,Shunichi,Hopewell,M,40000,9999-01-01
24588,Huiqun,Kranzdorf,F,104465,9999-01-01
24596,Ayonca,Stranks,M,68819,9999-01-01
24613,Hitofumi,Stifter,M,72578,9999-01-01
24725,Yechezkel,Openshaw,M,70008,9999-01-01
24790,Kiyokazu,Chachaty,F,78040,9999-01-01
24793,Kristen,Brizzi,M,66663,9999-01-01
24862,Susumu,Muntz,F,82129,9999-01-01
24872,Oguz,Decaestecker,M,89311,9999-01-01
24888,Murthy,Felder,F,90268,9999-01-01
24909,Constantine,Garrabrants,M,74552,9999-01-01
24932,Charmane,Erbe,F,73521,9999-01-01
24985,Martins,Bottner,M,73662,9999-01-01
25003,Dietrich,Benzmuller,M,85160,9999-01-01
25022,Zengping,Hiroyama,M,62723,9999-01-01
25085,Tran,Usery,M,69009,9999-01-01
25112,Muneo,Haraldson,F,68760,9999-01-01
25370,Jagoda,Puoti,M,72462,9999-01-01
25371,Goh,Ishibashi,F,40000,9999-01-01
25537,Akeel,Ibel,F,103268,9999-01-01
25562,Bernardo,Menhardt,F,62196,9999-01-01
25599,Masoud,Pillow,F,82038,9999-01-01
25600,Jinpo,McClurg,F,87210,9999-01-01
25603,Kwangsub,Desikan,F,62162,9999-01-01
25644,Kwangho,Straney,M,58794,9999-01-01
25717,Froduald,Speek,M,66977,9999-01-01
25772,Greger,Marrevee,M,51275,9999-01-01
25841,Shahab,Ernst,F,58556,9999-01-01
25935,Berhard,Parascandalo,F,72520,9999-01-01
25963,Jiakeng,Fandrianto,F,68178,9999-01-01
25992,Divier,Bugrara,M,60761,9999-01-01
26053,Heekeun,Szmurlo,F,78218,9999-01-01
26086,Turgut,Beutelspacher,M,53923,9999-01-01
26113,Larisa,Brandsma,M,79099,9999-01-01
26172,Sedat,Bahr,M,51715,9999-01-01
26252,Haldun,Flowers,F,82085,9999-01-01
26317,Valdiodio,Weedman,F,85740,9999-01-01
26344,Duke,Sabnani,M,61884,9999-01-01
26391,Baoqiu,Kermarrec,M,59753,9999-01-01
26623,Berni,Barbanera,M,86569,9999-01-01
26639,Guadalupe,Weiland,F,67344,9999-01-01
26682,Yucai,Baezner,M,71340,9999-01-01
26750,Baziley,Denis,M,70070,9999-01-01
26808,Jeanne,DuCasse,M,86652,9999-01-01
26811,Prodip,Farrow,F,73589,9999-01-01
26833,Hirochika,Gustavson,M,62956,9999-01-01
26902,Reinhold,Welham,M,71381,9999-01-01
26905,Fatemeh,Markovitch,F,71078,9999-01-01
27056,Leen,Hiyoshi,M,74261,9999-01-01
27223,Noritoshi,Delgrossi,M,65810,9999-01-01
27272,Kwan,Genin,M,83908,9999-01-01
27365,Mang,Morris,M,55807,9999-01-01
27368,Dipayan,Keustermans,F,67825,9999-01-01
27369,Cedric,Chinen,F,60493,9999-01-01
27557,Teunis,Oxman,M,75640,9999-01-01
27652,Jacqueline,Matteis,M,65541,9999-01-01
27739,Youssef,Piancastelli,F,65487,9999-01-01
27756,Stevo,Suwa,F,67919,9999-01-01
27772,Shahaf,Salvesen,F,78337,9999-01-01
27797,Kazuhisa,Botman,F,80542,9999-01-01
27801,Naraig,Danecki,F,49614,9999-01-01
28074,Shmuel,Syrotiuk,M,73538,9999-01-01
28161,Kwan,Nicolson,F,86867,9999-01-01
28209,Gadiel,Millington,M,55371,9999-01-01
28240,Reuven,Lorcy,M,68969,9999-01-01
28322,Premal,Millington,F,51484,9999-01-01
28344,Fan,Barriga,F,72407,9999-01-01
28350,Theron,Heusch,M,70661,9999-01-01
28358,Constantino,Salinas,F,69377,9999-01-01
28359,Kshitij,Stellhorn,M,50744,9999-01-01
28373,Steen,Bhattacharjee,M,100154,9999-01-01
28383,Gladys,Chimia,M,69090,9999-01-01
28385,Filipp,Conia,M,58947,9999-01-01
28555,Kankanahalli,Wendorf,M,83282,9999-01-01
28596,Perla,Porotnikoff,M,81312,9999-01-01
28619,Pragnesh,Majewski,F,85927,9999-01-01
28653,Pranay,Flanders,F,40000,9999-01-01
28689,Jessie,Lores,F,81307,9999-01-01
28703,Tremaine,Remmele,M,40000,9999-01-01
28716,Kristian,Hertweck,M,62924,9999-01-01
28734,Arvind,Heydon,F,83827,9999-01-01
28739,Elliott,Wixon,F,68199,9999-01-01
28750,Guangming,Speckmann,M,56693,9999-01-01
28753,Leaf,Lichtner,M,73262,9999-01-01
28757,Branimir,Poupard,F,40000,9999-01-01
28779,Fayez,Bottner,F,68120,9999-01-01
28958,Angel,Wossner,M,61697,9999-01-01
29080,Panayotis,Shumilov,M,46519,9999-01-01
29120,Parto,Bergere,F,85465,9999-01-01
29133,Rafael,Peck,M,67100,9999-01-01
29199,Chaoyi,Mondadori,M,59549,9999-01-01
29250,Radoslaw,Besancenot,M,60178,9999-01-01
29366,Domenico,Ohori,F,54398,9999-01-01
29485,Ortrun,Shobatake,M,55230,9999-01-01
29527,Adamantios,Oaver,M,58827,9999-01-01
29583,Subhada,Waymire,M,80921,9999-01-01
29596,Geoff,Lueh,M,60429,9999-01-01
29603,Kristina,Khamsi,M,68610,9999-01-01
29651,Divier,Knightly,M,68240,9999-01-01
29719,Sumant,Takkinen,M,66023,9999-01-01
29729,Alassane,Bernatsky,M,87778,9999-01-01
29946,Shooichi,McClure,F,55355,9999-01-01
30143,Indrajit,Huttel,M,53875,9999-01-01
30179,Shirish,Krzyzanowski,F,76390,9999-01-01
30302,Amstein,Sankaranarayanan,M,80557,9999-01-01
30330,Caolyn,Nitsch,M,74776,9999-01-01
30351,Djenana,Blokdijk,M,85423,9999-01-01
30410,Feiyu,Menyhert,M,70577,9999-01-01
30425,Rimli,Akazan,M,86775,9999-01-01
30466,Sumant,Giaccio,M,78285,9999-01-01
30497,Youjian,Pettis,F,79544,9999-01-01
30525,Snehasis,Matzen,M,52728,9999-01-01
30546,Janalee,Oehlmann,F,50375,9999-01-01
30655,Xuedong,Anandan,M,74391,9999-01-01
30663,Gurbir,Sigstam,F,69262,9999-01-01
30670,Lillian,Zizka,M,70748,9999-01-01
30673,Berry,Ozeki,M,42867,9999-01-01
30730,Willard,Pelc,M,105440,9999-01-01
30769,Berry,Frolund,M,83160,9999-01-01
30831,Arno,Kermarrec,M,65636,9999-01-01
30834,Van,Erdi,M,94027,9999-01-01
30899,Dannz,Keirsey,M,50645,9999-01-01
30923,Chandrasekaran,Ellozy,M,52403,9999-01-01
31024,Xiadong,Ciolek,F,63217,9999-01-01
31127,Mizuhito,Puppo,M,101146,9999-01-01
31132,Barna,Ghalwash,M,61007,9999-01-01
31220,Radoslaw,Lund,M,74531,9999-01-01
31224,Uta,Apsitis,F,64379,9999-01-01
31343,Heon,Denos,F,53011,9999-01-01
31385,Barry,Daescu,F,67392,9999-01-01
31401,Hein,Sigstam,M,69819,9999-01-01
31533,Trygve,Albarhamtoshy,M,68960,9999-01-01
31557,Denny,Kalafatis,F,45801,9999-01-01
31558,Shuzo,Hmelo,M,81615,9999-01-01
31700,Weiyi,Ranft,F,112359,9999-01-01
31702,Florian,Isard,F,59652,9999-01-01
31719,JoAnne,Caine,M,70273,9999-01-01
31791,Saddek,Debuse,M,70715,9999-01-01
31824,Remko,Pezzoli,F,85053,9999-01-01
32001,Mari,Attimonelli,F,69437,9999-01-01
32027,Mong,Sidhu,M,75407,9999-01-01
32056,Parviz,Lieblein,F,74149,9999-01-01
32138,Anyuan,Facello,F,61638,9999-01-01
32150,Chenxi,Narwekar,M,71626,9999-01-01
32167,Christophe,Sury,M,60044,9999-01-01
32193,Margareta,Szmurlo,F,76023,9999-01-01
32197,Claude,Highland,F,64708,9999-01-01
32221,Pranas,Snedden,M,80099,9999-01-01
32237,Yucai,Range,F,67128,9999-01-01
32303,Bodh,Merli,M,56708,9999-01-01
32468,Rafols,Masamoto,M,81351,9999-01-01
32487,Neven,Hambrick,F,56318,9999-01-01
32653,Renny,Wielonsky,M,81357,9999-01-01
32689,Gladys,Heusch,M,58830,9999-01-01
32703,DeForest,Klyachko,M,66739,9999-01-01
32776,Charlene,Bodoff,M,84122,9999-01-01
32864,Anyuan,Stifter,F,49402,9999-01-01
32871,DeForest,Rullman,M,68073,9999-01-01
32928,Shigeu,Kalloufi,F,60926,9999-01-01
32931,Almudena,DasSarma,M,74697,9999-01-01
33008,Keiichiro,Birnbaum,F,96870,9999-01-01
33009,Tsutomu,Chinin,F,76829,9999-01-01
33125,Jaewon,Dulay,M,40000,9999-01-01
33184,Kazuhiro,Kaelbling,M,72067,9999-01-01
33196,Jungsoon,Gist,F,70306,9999-01-01
33216,Zdislav,Thombley,M,68912,9999-01-01
33270,Chanjung,Ebeling,M,64195,9999-01-01
33279,Arne,Felder,F,71953,9999-01-01
33343,Chiradeep,Gunderson,M,81974,9999-01-01
33399,Roded,Lorcy,M,40000,9999-01-01
33423,Jinpo,Koblick,M,61001,9999-01-01
33555,Wojceich,Kawashima,F,77978,9999-01-01
33579,Guozhong,Eickenmeyer,M,78586,9999-01-01
33631,Tonny,Ozeri,M,66795,9999-01-01
33698,Mohan,Dalton,M,80844,9999-01-01
33727,Uno,Highland,F,66611,9999-01-01
33812,Patricio,Basawa,F,73574,9999-01-01
33838,Adit,Ranai,M,58188,9999-01-01
33852,Marek,Prochazka,M,74269,9999-01-01
33913,Niteen,Binkley,F,50784,9999-01-01
34030,Nobuyoshi,Rodiger,M,84366,9999-01-01
34150,Leen,Miculan,M,71615,9999-01-01
34158,Mohammed,Syrotiuk,M,60792,9999-01-01
34215,Otilia,Pietrzykowski,M,75410,9999-01-01
34241,Remco,Ariola,F,71910,9999-01-01
34382,Kayoko,Ravishankar,F,101364,9999-01-01
34406,Yefim,Mitsuhashi,F,81629,9999-01-01
34597,Jouko,Bolotov,M,68624,9999-01-01
34600,Godehard,Middleton,F,67242,9999-01-01
34726,Shridhar,Emmart,F,75135,9999-01-01
34839,Henk,Kermarrec,M,65656,9999-01-01
34915,Christ,Tetzlaff,F,53614,9999-01-01
34961,Uno,Dolinsky,F,50765,9999-01-01
35012,Noritoshi,Krybus,M,79235,9999-01-01
35042,Nahid,Servieres,M,65916,9999-01-01
35046,Sachem,Luders,M,62184,9999-01-01
35273,Zsolt,Mitsuhashi,F,46480,9999-01-01
35550,Van,Hutton,F,67201,9999-01-01
35558,Kshitij,Staudhammer,M,62866,9999-01-01
35780,Duro,Tyugu,M,57827,9999-01-01
35939,Hiroyasu,Demri,F,57329,9999-01-01
35960,Adam,Danlos,M,52523,9999-01-01
36032,Mikhail,Luck,F,63299,9999-01-01
36042,Chaitali,Prochazka,F,66139,9999-01-01
36055,Changho,Rubsam,M,72106,9999-01-01
36073,Shirish,Gire,M,77598,9999-01-01
36178,Bernt,Valette,M,89600,9999-01-01
36410,Navin,Steenbeek,M,50895,9999-01-01
36591,Heeju,Goodrum,F,75346,9999-01-01
36620,Arno,Itzigehl,F,87944,9999-01-01
36795,Nidapan,Einsfeld,F,66279,9999-01-01
36819,Tadahiro,Parveen,M,85601,9999-01-01
36874,Genki,Aloia,F,62935,9999-01-01
36877,Shahaf,Ranst,M,63066,9999-01-01
36953,Lihong,Butner,M,70537,9999-01-01
36968,Shin,Siprelle,M,65871,9999-01-01
36987,Brigham,Erde,M,64202,9999-01-01
37068,Xiaoqiang,Delgrande,M,67150,9999-01-01
37087,Claudi,Angel,M,40991,9999-01-01
37101,Jaewon,Pappas,M,54846,9999-01-01
37231,Vidya,Leonhardt,F,69868,9999-01-01
37236,Ranan,Luby,M,51628,9999-01-01
37245,Along,Gyimothy,M,74284,9999-01-01
37263,Aris,Rotem,M,74238,9999-01-01
37267,Itzchak,Falster,M,64159,9999-01-01
37312,Arie,Gecsei,M,91985,9999-01-01
37318,Alejandro,Isard,M,57930,9999-01-01
37343,Geoff,Kleiser,M,72404,9999-01-01
37348,Zhiguo,Ratzlaff,F,81615,9999-01-01
37372,Dietrich,Peot,F,45450,9999-01-01
37454,KayLiang,Bernardeschi,F,73239,9999-01-01
37577,Mansur,Narwekar,F,72384,9999-01-01
37600,Kerhong,Engelmann,F,71481,9999-01-01
37627,Jasminko,Ladret,M,65895,9999-01-01
37648,Sreenivas,Luef,F,52219,9999-01-01
37674,Vitali,Sinitsyn,M,83927,9999-01-01
37717,Arunachalam,Lichtman,M,84584,9999-01-01
37751,Jacopo,DuBourdieux,F,59872,9999-01-01
37814,Adel,Salvesen,M,86781,9999-01-01
37882,Alexius,Mellouli,M,70731,9999-01-01
37937,Xiahua,Pero,M,74014,9999-01-01
37948,Jayson,Zykh,F,56561,9999-01-01
37970,Cathie,Woycyznski,M,60997,9999-01-01
38019,Charlene,Yoshimura,F,94643,9999-01-01
38076,Kiyotoshi,Flowers,M,63867,9999-01-01
38117,Stevo,Hiraishi,F,93702,9999-01-01
38123,Kien,Cummings,M,69068,9999-01-01
38204,Jianwen,Azadmanesh,F,81148,9999-01-01
38252,Tadahiro,Benzaken,F,68528,9999-01-01
38328,Richard,Muhlberg,M,68916,9999-01-01
38347,Tzu,Woycyznski,F,87184,9999-01-01
38431,Masanao,Ferretti,F,86138,9999-01-01
38497,Anyuan,Hiltgen,M,57075,9999-01-01
38553,Dinkar,Bage,F,69755,9999-01-01
38618,Houman,Ibel,M,74196,9999-01-01
38740,Michaela,Matzat,M,67013,9999-01-01
38810,Pohua,Roccetti,M,82962,9999-01-01
38852,Niranjan,Lorys,M,58217,9999-01-01
38878,Hauke,Champarnaud,F,67876,9999-01-01
38915,Divine,Hanratty,M,53650,9999-01-01
38942,Danco,Xiaoshan,F,68402,9999-01-01
38951,Terresa,Rijckaert,M,71348,9999-01-01
39143,Flemming,Salverda,F,92256,9999-01-01
39444,Huican,Majewski,F,75905,9999-01-01
39474,Zorica,Kilgore,F,40697,9999-01-01
39631,Jiafu,Simmel,M,79889,9999-01-01
39656,Annemarie,Nannarelli,M,75928,9999-01-01
39684,Kokou,Dratva,F,59743,9999-01-01
39712,Chirstian,Muchinsky,M,75967,9999-01-01
39756,Dmitri,Litecky,M,77527,9999-01-01
39806,Shuzo,Rosenbaum,M,80871,9999-01-01
39852,Willard,Guenter,F,78900,9999-01-01
39880,Turgut,Karunanithi,M,79958,9999-01-01
39890,Sanjai,Valiente,M,80691,9999-01-01
39909,Nectarios,Ozeki,F,56365,9999-01-01
39966,Utpal,Beidas,F,46206,9999-01-01
39970,Sachar,Sgarro,M,78546,9999-01-01
39992,Mohit,Gadepally,M,54972,9999-01-01
40057,Ghassan,Kalloufi,F,76287,9999-01-01
40156,Dhritiman,Cooman,M,73828,9999-01-01
